,Date,Max Wind Speed,Avg Cloud Coverage,Humidity,isRain
147,2022-07-26,8.7,26.458333333333332,44.0,0
148,2022-07-27,11.2,28.75,47.0,0
149,2022-07-28,15.7,50.541666666666664,67.0,1
150,2022-07-29,8.3,50.166666666666664,62.0,1
151,2022-07-30,11.4,10.083333333333334,43.0,0
152,2022-07-31,12.5,12.791666666666666,44.0,0
153,2022-08-01,9.2,54.333333333333336,58.0,0
154,2022-08-02,12.3,43.166666666666664,64.0,1
155,2022-08-03,11.0,0.7083333333333334,51.0,0
156,2022-08-04,14.8,15.125,52.0,0
157,2022-08-05,14.5,68.375,67.0,1
158,2022-08-06,11.9,52.0,71.0,1
159,2022-08-07,10.3,36.083333333333336,58.0,1
160,2022-08-08,13.6,23.666666666666668,54.0,0
161,2022-08-09,13.0,55.916666666666664,54.0,1
162,2022-08-10,9.6,66.25,73.0,1
163,2022-08-11,10.1,57.166666666666664,68.0,1
164,2022-08-12,14.1,30.583333333333332,44.0,1
165,2022-08-13,11.9,11.5,38.0,0
166,2022-08-14,12.8,17.375,38.0,0
167,2022-08-15,7.8,75.08333333333333,61.0,1
168,2022-08-16,17.0,63.333333333333336,64.0,1
169,2022-08-17,11.2,33.583333333333336,54.0,0
170,2022-08-18,10.5,35.166666666666664,53.0,0
171,2022-08-19,12.5,21.625,49.0,0
172,2022-08-20,13.2,18.125,56.0,0
173,2022-08-21,12.3,16.625,58.0,0
174,2022-08-22,9.4,77.91666666666667,82.0,1
175,2022-08-23,9.8,54.375,74.0,1
176,2022-08-24,8.3,10.666666666666666,52.0,0
177,2022-08-25,11.2,22.125,43.0,0
178,2022-08-26,11.4,28.25,52.0,0
179,2022-08-27,9.2,53.916666666666664,57.0,1
180,2022-08-28,11.6,36.083333333333336,63.0,0
181,2022-08-29,11.4,24.125,66.0,0
182,2022-08-30,9.4,41.916666666666664,68.0,1
183,2022-08-31,12.8,10.666666666666666,52.0,1
